"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","115000S",150000,10,1900,NA
2008,12,20,"caballa","industrial","CHIMBOTE","794500W","110000S",260000,15,2100,NA
2008,12,30,"caballa","industrial","MATARANI","724306W","174524S",11000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",49410,6,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","733850W","165742S",13300,4,450,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","732312W","170312S",104000,5,450,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",28500,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724342W","175106S",109200,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",17100,3,400,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","730654W","171000S",1200,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","175000S",22500,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",33600,8,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",14400,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","724030W","174706S",1800,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","725200W","172630S",26600,3,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",27300,7,450,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",80000,4,600,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","730950W","171210S",33280,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731936W","172530S",2000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","733850W","165742S",31500,7,500,NA
2008,12,25,"caballa","industrial","PAITA","841000W","062000S",162500,20,1000,NA
2008,12,20,"caballa","industrial","PAITA","845000W","085000S",64000,15,1000,NA
2008,12,25,"caballa","industrial","CHIMBOTE","793000W","110000S",110000,12,2000,NA
2008,12,22,"caballa","industrial","CHIMBOTE","803000W","114000S",483000,20,2250,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","174138S",12500,3,400,NA
2008,12,25,"caballa","industrial","PAITA","842000W","055000S",124000,7,1000,NA
2008,12,24,"caballa","industrial","PAITA","833000W","070000S",310000,15,1000,NA
2008,12,23,"caballa","industrial","PAITA","842000W","075000S",4500,12,1000,NA
2008,12,25,"caballa","industrial","PAITA","842736W","061000S",15000,25,1000,NA
2008,12,26,"caballa","industrial","SALAVERRY","803500W","090000S",59500,7,1000,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","111500S",340000,10,2200,NA
2008,12,31,"caballa","industrial","MATARANI","723642W","173736S",10000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","724000W","174138S",13000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",98700,2.5,450,NA
2008,12,30,"caballa","industrial","LA PLANCHADA","734056W","170302S",61880,4,1200,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734242W","171625S",46230,4,650,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734752W","170602S",46455,6,600,NA
2008,12,30,"caballa","industrial","MATARANI","730000W","172300S",54400,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724210W","172300S",26600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","722630W","173416S",12000,3,400,NA
