"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","115000S",290000,10,1900,NA
2008,12,20,"caballa","industrial","CHIMBOTE","794500W","110000S",1e+05,15,2100,NA
2008,12,30,"caballa","industrial","MATARANI","724306W","174524S",25000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",71370,6,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","733850W","165742S",83600,4,450,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","732312W","170312S",109200,5,450,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",11400,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724342W","175106S",83200,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",8100,3,400,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","730654W","171000S",39600,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","175000S",52500,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",44800,8,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",32400,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","724030W","174706S",0,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","725200W","172630S",39900,3,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",54600,7,450,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",8000,4,600,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","730950W","171210S",17920,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731936W","172530S",8000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","733850W","165742S",87500,7,500,NA
2008,12,25,"caballa","industrial","PAITA","841000W","062000S",39000,20,1000,NA
2008,12,20,"caballa","industrial","PAITA","845000W","085000S",74000,15,1000,NA
2008,12,25,"caballa","industrial","CHIMBOTE","793000W","110000S",510000,12,2000,NA
2008,12,22,"caballa","industrial","CHIMBOTE","803000W","114000S",52500,20,2250,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","174138S",22500,3,400,NA
2008,12,25,"caballa","industrial","PAITA","842000W","055000S",72000,7,1000,NA
2008,12,24,"caballa","industrial","PAITA","833000W","070000S",2e+05,15,1000,NA
2008,12,23,"caballa","industrial","PAITA","842000W","075000S",6000,12,1000,NA
2008,12,25,"caballa","industrial","PAITA","842736W","061000S",330000,25,1000,NA
2008,12,26,"caballa","industrial","SALAVERRY","803500W","090000S",31500,7,1000,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","111500S",210000,10,2200,NA
2008,12,31,"caballa","industrial","MATARANI","723642W","173736S",2000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","724000W","174138S",1500,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",44100,2.5,450,NA
2008,12,30,"caballa","industrial","LA PLANCHADA","734056W","170302S",21840,4,1200,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734242W","171625S",6030,4,650,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734752W","170602S",14670,6,600,NA
2008,12,30,"caballa","industrial","MATARANI","730000W","172300S",9600,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724210W","172300S",95000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","722630W","173416S",32500,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","723000W","173300S",2400,6,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",16900,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731600W","171900S",3600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",44200,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724800W","171800S",101500,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",11200,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",0,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",28500,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724022W","174206S",16800,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","725200W","172630S",8800,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","723942W","173622S",30600,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171614S",0,7,400,NA
2008,12,30,"caballa","industrial","MATARANI","725754W","172002S",55000,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",15600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171810S",72000,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",27000,4,600,NA
2008,12,29,"caballa","industrial","ILO","714145W","180615S",26400,2,400,NA
2008,12,28,"caballa","industrial","ILO","714018W","180130S",27000,2,380,NA
2008,12,28,"caballa","industrial","ILO","714748W","180812S",64000,4,600,NA
2008,12,28,"caballa","industrial","ILO","721630W","171030S",13000,4,500,NA
2008,12,28,"caballa","industrial","ILO","722200W","173000S",30000,6,700,NA
2008,12,25,"caballa","industrial","PUCUSANA","780202W","131230S",133000,10,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",132600,7,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","782616W","122902S",50400,15,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781536W","131710S",63000,8,1500,NA
2008,12,28,"caballa","industrial","ILO","721200W","184450S",13500,15,800,NA
2008,12,29,"caballa","industrial","ILO","714748W","180812S",2700,9,400,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734006W","171955S",42000,7,700,NA
2008,12,26,"caballa","industrial","ILO","734056W","170302S",49400,12,1000,NA
2008,12,28,"caballa","industrial","ILO","733300W","164800S",76000,10,1200,NA
2008,12,24,"caballa","industrial","PAITA","843000W","074000S",225000,15,1000,NA
2008,12,24,"caballa","industrial","PAITA","845000W","073500S",30515,8,900,NA
